"","CCA1","CCA2","Species"
"C.punctatissima",-0.290640052754355,-0.168292219884168,"C.punctatissima"
"T.lucasanum",-0.221179209434882,-0.052296751331087,"T.lucasanum"
"A.troschelii",-0.246582396598326,-0.0533091266676031,"A.troschelii"
"J.nigrirostris",-0.369523507085501,-0.0292080731503891,"J.nigrirostris"
"M.dorsalis",-0.153432525148733,-0.11234603609331,"M.dorsalis"
"S.rectifraenum",-0.123844855529746,-0.175055554509506,"S.rectifraenum"
"S.rubroviolaceus",-0.178799073866171,-0.397253020362923,"S.rubroviolaceus"
"C.limbaughi",-0.547620598559882,0.585133549665757,"C.limbaughi"
"S.ghobban",-0.155908954388516,-0.238536926407955,"S.ghobban"
"C.atrilobata",0.322190990335616,0.0580174866703622,"C.atrilobata"
"D.holocanthus",-0.0500890002661236,-0.185121484777199,"D.holocanthus"
"C.oxycephalus",0.0562619830022262,-0.254404443793316,"C.oxycephalus"
